,Title,Price,Kilometers Driven,Fuel Type,Location,Year,Make,Model,Variant,Car Age,Trim Level,Power Indicator
1191,2021 Honda City 4th Generation ZX Diesel,1272000.0,51686.0,Diesel,Bellavista,2021,Honda,City,4th Generation ZX Diesel,3,Base,Standard
1192,2011 Ford Figo Duratorq Diesel ZXI 1.4,234000.0,69402.0,Diesel,Beerappagadda,2011,Ford,Figo,Duratorq Diesel ZXI 1.4,13,Base,Standard
1193,2017 Chevrolet Beat PS Petrol,312000.0,47549.0,Petrol,Bellavista,2017,Chevrolet,Beat,PS Petrol,7,Base,Standard
1194,2021 Hyundai Grand i10 Nios Asta 1.2 Kappa VTVT,732000.0,11707.0,Petrol,Beerappagadda,2021,Hyundai,Grand,i10 Nios Asta 1.2 Kappa VTVT,3,Base,Standard
1195,2022 Hyundai i20 N Line N8 1.0 Turbo DCT,1080000.0,15583.0,Petrol,Beerappagadda,2022,Hyundai,i20,N Line N8 1.0 Turbo DCT,2,Base,Standard
1196,2022 Skoda Kushaq Ambition 1.0L TSI AT,1374000.0,30090.0,Petrol,Jntu Kukat Pally,2022,Skoda,Kushaq,Ambition 1.0L TSI AT,2,Base,Standard
1197,2015 Mahindra XUV500 W6,806000.0,71409.0,Diesel,Bellavista,2015,Mahindra,XUV500,W6,9,Base,Standard
1198,2020 Toyota Glanza V,774000.0,43264.0,Petrol,Beerappagadda,2020,Toyota,Glanza,V,4,Base,Standard
1199,2018 Renault Kwid 1.0 RXT AMT Opt,403000.0,31492.0,Petrol,Bellavista,2018,Renault,Kwid,1.0 RXT AMT Opt,6,Base,Standard
1200,2023 Maruti Suzuki Wagon R 1.0 VXI,578000.0,23602.0,Petrol,Jubilee Hills,2023,Maruti,Suzuki,Wagon R 1.0 VXI,1,Base,Standard
1201,2013 Hyundai i10 Magna,294000.0,94093.0,Petrol,Bellavista,2013,Hyundai,i10,Magna,11,Base,Standard
